,Word,Count
0,the,4489
1,to,4161
2,of,3703
3,and,3435
4,a,1971
5,her,1913
6,in,1895
7,was,1799
8,i,1696
9,she,1598
10,that,1458
11,not,1380
12,he,1241
13,his,1240
14,be,1209
15,as,1178
16,had,1149
17,it,1133
18,you,1099
19,with,1072
20,for,1035
21,but,838
22,have,833
23,is,814
24,at,785
25,mr.,757
26,on,685
27,by,648
28,my,646
29,they,585
30,were,547
31,all,543
32,so,531
33,which,519
34,been,502
35,from,501
36,could,500
37,him,489
38,very,473
39,would,457
40,no,446
41,their,435
42,what,429
43,your,420
44,any,419
45,this,406
46,will,393
47,elizabeth,393
48,such,384
49,an,370
50,or,366
51,when,349
52,mrs.,338
53,are,336
54,said,336
55,if,312
56,must,308
57,am,306
58,there,295
59,much,292
60,"""i",288
61,more,286
62,every,283
63,than,282
64,do,277
65,miss,270
66,who,265
67,me,257
68,them,257
69,one,252
70,should,248
71,we,233
72,did,228
73,has,217
74,darcy,214
75,never,213
76,though,210
77,only,207
78,some,201
79,soon,201
80,can,199
81,after,197
82,may,196
83,how,196
84,might,196
85,think,192
86,know,190
87,most,182
88,without,175
89,being,173
90,other,169
91,little,168
92,bennet,168
93,good,166
94,make,166
95,now,165
96,lady,164
97,before,162
98,shall,159
99,own,154
